TIME_PERIOD;TYPE;UNIT;VALUE;;CONF_STATUS
2025-03;Natural gas;Gigawatt-hour;2039.505;;
2025-04;Natural gas;Gigawatt-hour;1882.014;;
2025-05;Natural gas;Gigawatt-hour;1614.592;;
2025-06;Natural gas;Gigawatt-hour;1321.355;;
2025-07;Natural gas;Gigawatt-hour;1726.835;;
2025-08;Natural gas;Gigawatt-hour;1574.794;;
2017-01;Natural gas;Percentage;5.140;;
2017-02;Natural gas;Percentage;5.145;;
2017-03;Natural gas;Percentage;5.970;;
2017-04;Natural gas;Percentage;6.733;;
2017-05;Natural gas;Percentage;5.085;;
2017-06;Natural gas;Percentage;5.153;;
2017-07;Natural gas;Percentage;5.197;;
2017-08;Natural gas;Percentage;4.827;;
2017-09;Natural gas;Percentage;5.698;;
2017-10;Natural gas;Percentage;6.947;;
2017-11;Natural gas;Percentage;7.127;;
2017-12;Natural gas;Percentage;7.012;;
2018-01;Natural gas;Percentage;7.722;;
2018-02;Natural gas;Percentage;8.333;;
2018-03;Natural gas;Percentage;8.764;;
2018-04;Natural gas;Percentage;7.784;;
2018-05;Natural gas;Percentage;7.811;;
2018-06;Natural gas;Percentage;7.318;;
2018-07;Natural gas;Percentage;7.966;;
2018-08;Natural gas;Percentage;8.747;;
2018-09;Natural gas;Percentage;6.258;;
2018-10;Natural gas;Percentage;7.119;;
2018-11;Natural gas;Percentage;7.574;;
2018-12;Natural gas;Percentage;8.428;;
2019-01;Natural gas;Percentage;8.260;;
2019-02;Natural gas;Percentage;8.649;;
2019-03;Natural gas;Percentage;9.549;;
2019-04;Natural gas;Percentage;11.317;;
2019-05;Natural gas;Percentage;9.500;;
2019-06;Natural gas;Percentage;8.371;;
2019-07;Natural gas;Percentage;9.727;;
2019-08;Natural gas;Percentage;10.642;;
2019-09;Natural gas;Percentage;7.937;;
2019-10;Natural gas;Percentage;9.644;;
2019-11;Natural gas;Percentage;10.727;;
2019-12;Natural gas;Percentage;12.395;;
2020-01;Natural gas;Percentage;9.982;;
2020-02;Natural gas;Percentage;9.887;;
2020-03;Natural gas;Percentage;10.982;;
2020-04;Natural gas;Percentage;12.022;;
2020-05;Natural gas;Percentage;11.667;;
2020-06;Natural gas;Percentage;9.932;;
2020-07;Natural gas;Percentage;11.754;;
2020-08;Natural gas;Percentage;10.306;;
2020-09;Natural gas;Percentage;10.666;;
2020-10;Natural gas;Percentage;10.787;;
2020-11;Natural gas;Percentage;12.329;;
2020-12;Natural gas;Percentage;12.197;;
2021-01;Natural gas;Percentage;10.892;;
2021-02;Natural gas;Percentage;9.513;;
2021-03;Natural gas;Percentage;8.858;;
2021-04;Natural gas;Percentage;8.830;;
2021-05;Natural gas;Percentage;9.571;;
2021-06;Natural gas;Percentage;10.086;;
2021-07;Natural gas;Percentage;9.414;;
2021-08;Natural gas;Percentage;9.001;;
2021-09;Natural gas;Percentage;8.126;;
2021-10;Natural gas;Percentage;9.080;;
2021-11;Natural gas;Percentage;9.848;;
2021-12;Natural gas;Percentage;8.438;;
2022-01;Natural gas;Percentage;8.709;;
2022-02;Natural gas;Percentage;7.895;;
2022-03;Natural gas;Percentage;6.850;;
2022-04;Natural gas;Percentage;6.091;;
2022-05;Natural gas;Percentage;7.368;;
2022-06;Natural gas;Percentage;7.438;;
2022-07;Natural gas;Percentage;5.670;;
2022-08;Natural gas;Percentage;4.869;;
2022-09;Natural gas;Percentage;4.760;;
2022-10;Natural gas;Percentage;6.691;;
2022-11;Natural gas;Percentage;8.056;;
2022-12;Natural gas;Percentage;7.740;;
2023-01;Natural gas;Percentage;10.664;;
2023-02;Natural gas;Percentage;10.269;;
2023-03;Natural gas;Percentage;12.232;;
2023-04;Natural gas;Percentage;11.876;;
2023-05;Natural gas;Percentage;8.998;;
2023-06;Natural gas;Percentage;10.363;;
2023-07;Natural gas;Percentage;10.161;;
2023-08;Natural gas;Percentage;10.138;;
2023-09;Natural gas;Percentage;6.496;;
2023-10;Natural gas;Percentage;10.248;;
2023-11;Natural gas;Percentage;12.802;;
2023-12;Natural gas;Percentage;12.605;;
2024-01;Natural gas;Percentage;13.544;;
2024-02;Natural gas;Percentage;13.679;;
2024-03;Natural gas;Percentage;12.437;;
2024-04;Natural gas;Percentage;10.846;;
2024-05;Natural gas;Percentage;7.479;;
2024-06;Natural gas;Percentage;7.429;;
2024-07;Natural gas;Percentage;9.583;;
2024-08;Natural gas;Percentage;13.002;;
2024-09;Natural gas;Percentage;13.258;;
2024-10;Natural gas;Percentage;14.321;;
2024-11;Natural gas;Percentage;15.941;;
2024-12;Natural gas;Percentage;14.489;;
2025-01;Natural gas;Percentage;14.478;;
2025-02;Natural gas;Percentage;14.553;;
2025-03;Natural gas;Percentage;14.633;;
2025-04;Natural gas;Percentage;14.635;;
2025-05;Natural gas;Percentage;13.116;;
2025-06;Natural gas;Percentage;10.731;;
2025-07;Natural gas;Percentage;13.596;;
2025-08;Natural gas;Percentage;13.101;;
2008-01;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2008-02;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2008-03;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2008-04;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2008-05;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2008-06;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2008-07;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2008-08;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2008-09;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2008-10;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2008-11;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2008-12;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2009-01;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2009-02;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2009-03;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2009-04;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2009-05;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2009-06;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2009-07;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2009-08;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2009-09;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2009-10;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2009-11;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2009-12;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2010-01;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2010-02;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2010-03;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2010-04;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2010-05;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2010-06;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2010-07;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2010-08;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2010-09;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2010-10;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2010-11;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2010-12;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2011-01;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2011-02;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2011-03;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2011-04;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2011-05;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2011-06;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2011-07;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2011-08;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2011-09;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2011-10;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2011-11;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2011-12;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2012-01;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2012-02;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2012-03;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2012-04;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2012-05;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2012-06;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2012-07;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2012-08;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2012-09;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2012-10;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2012-11;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2012-12;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2013-01;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2013-02;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2013-03;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2013-04;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2013-05;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2013-06;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2013-07;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2013-08;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2013-09;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2013-10;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2013-11;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2013-12;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2014-01;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2014-02;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2014-03;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2014-04;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2014-05;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2014-06;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2014-07;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2014-08;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2014-09;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2014-10;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2014-11;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2014-12;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2015-01;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2015-02;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2015-03;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2015-04;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2015-05;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2015-06;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2015-07;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2015-08;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2015-09;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2015-10;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2015-11;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2015-12;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2016-01;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2016-02;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2016-03;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2016-04;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2016-05;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2016-06;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2016-07;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2016-08;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2016-09;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2016-10;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2016-11;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2016-12;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2017-01;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2017-02;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2017-03;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2017-04;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2017-05;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2017-06;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2017-07;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2017-08;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2017-09;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2017-10;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2017-11;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2017-12;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2018-01;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2018-02;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2018-03;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2018-04;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2018-05;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2018-06;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2018-07;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2018-08;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2018-09;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2018-10;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2018-11;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2018-12;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2019-01;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2019-02;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2019-03;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2019-04;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2019-05;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2019-06;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2019-07;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2019-08;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2019-09;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2019-10;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2019-11;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2019-12;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2020-01;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2020-02;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2020-03;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2020-04;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2020-05;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2020-06;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2020-07;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2020-08;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2020-09;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2020-10;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2020-11;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2020-12;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2021-01;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2021-02;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2021-03;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2021-04;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2021-05;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2021-06;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2021-07;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2021-08;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2021-09;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2021-10;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2021-11;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2021-12;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2022-01;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2022-02;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2022-03;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2022-04;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2022-05;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2022-06;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2022-07;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2022-08;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2022-09;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2022-10;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2022-11;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2022-12;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2023-01;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2023-02;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2023-03;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2023-04;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2023-05;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2023-06;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2023-07;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2023-08;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2023-09;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2023-10;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2023-11;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2023-12;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2024-01;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2024-02;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2024-03;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2024-04;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2024-05;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2024-06;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2024-07;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2024-08;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2024-09;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2024-10;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2024-11;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2024-12;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2025-01;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2025-02;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2025-03;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0;;
2025-04;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2025-05;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2025-06;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2025-07;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2025-08;Nuclear fuels and other fuels n.e.c.;Gigawatt-hour;0.000;;
2016-01;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2016-02;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2016-03;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2016-04;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2016-05;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2016-06;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2016-07;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2016-08;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2016-09;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2016-10;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2016-11;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2016-12;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2017-01;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2017-02;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2017-03;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2017-04;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2017-05;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2017-06;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2017-07;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2017-08;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2017-09;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2017-10;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2017-11;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2017-12;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2018-01;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2018-02;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2018-03;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2018-04;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2018-05;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2018-06;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2018-07;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2018-08;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2018-09;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2018-10;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2018-11;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2018-12;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2019-01;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2019-02;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2019-03;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2019-04;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2019-05;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2019-06;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2019-07;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2019-08;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2019-09;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2019-10;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2019-11;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2019-12;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2020-01;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2020-02;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2020-03;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2020-04;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2020-05;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2020-06;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2020-07;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2020-08;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2020-09;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2020-10;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2020-11;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2020-12;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2021-01;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2021-02;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2021-03;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2021-04;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2021-05;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2021-06;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2021-07;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2021-08;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2021-09;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2021-10;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2021-11;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2021-12;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2022-01;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2022-02;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2022-03;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2022-04;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2022-05;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2022-06;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2022-07;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2022-08;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2022-09;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2022-10;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2022-11;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2022-12;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
2023-01;Nuclear fuels and other fuels n.e.c.;Percentage;0.000;;
