TIME_PERIOD;TYPE;UNIT;VALUE;;CONF_STATUS
2024-12;Coal and manufactured gases;Gigawatt-hour;8702.866;;
2025-01;Coal and manufactured gases;Gigawatt-hour;8870.494;;
2025-02;Coal and manufactured gases;Gigawatt-hour;8727.502;;
2025-03;Coal and manufactured gases;Gigawatt-hour;7289.229;;
2025-04;Coal and manufactured gases;Gigawatt-hour;5862.187;;
2025-05;Coal and manufactured gases;Gigawatt-hour;5584.051;;
2025-06;Coal and manufactured gases;Gigawatt-hour;5023.213;;
2025-07;Coal and manufactured gases;Gigawatt-hour;6125.070;;
2025-08;Coal and manufactured gases;Gigawatt-hour;5542.573;;
2017-01;Coal and manufactured gases;Percentage;81.536;;
2017-02;Coal and manufactured gases;Percentage;79.268;;
2017-03;Coal and manufactured gases;Percentage;77.549;;
2017-04;Coal and manufactured gases;Percentage;74.830;;
2017-05;Coal and manufactured gases;Percentage;80.088;;
2017-06;Coal and manufactured gases;Percentage;78.986;;
2017-07;Coal and manufactured gases;Percentage;82.942;;
2017-08;Coal and manufactured gases;Percentage;81.947;;
2017-09;Coal and manufactured gases;Percentage;79.159;;
2017-10;Coal and manufactured gases;Percentage;73.526;;
2017-11;Coal and manufactured gases;Percentage;76.028;;
2017-12;Coal and manufactured gases;Percentage;73.424;;
2018-01;Coal and manufactured gases;Percentage;73.564;;
2018-02;Coal and manufactured gases;Percentage;80.768;;
2018-03;Coal and manufactured gases;Percentage;77.820;;
2018-04;Coal and manufactured gases;Percentage;74.387;;
2018-05;Coal and manufactured gases;Percentage;78.483;;
2018-06;Coal and manufactured gases;Percentage;80.089;;
2018-07;Coal and manufactured gases;Percentage;80.414;;
2018-08;Coal and manufactured gases;Percentage;80.047;;
2018-09;Coal and manufactured gases;Percentage;80.302;;
2018-10;Coal and manufactured gases;Percentage;75.883;;
2018-11;Coal and manufactured gases;Percentage;78.777;;
2018-12;Coal and manufactured gases;Percentage;75.091;;
2019-01;Coal and manufactured gases;Percentage;74.932;;
2019-02;Coal and manufactured gases;Percentage;72.328;;
2019-03;Coal and manufactured gases;Percentage;68.762;;
2019-04;Coal and manufactured gases;Percentage;70.428;;
2019-05;Coal and manufactured gases;Percentage;74.387;;
2019-06;Coal and manufactured gases;Percentage;77.019;;
