TIME_PERIOD;TYPE;UNIT;OPERATION;OBS_VALUE
2017-05;Hard coal;Thousand tonnes;Exports;593.466
2017-06;Hard coal;Thousand tonnes;Exports;563.840
2017-07;Hard coal;Thousand tonnes;Exports;595.725
2017-08;Hard coal;Thousand tonnes;Exports;548.134
2017-09;Hard coal;Thousand tonnes;Exports;506.260
2017-10;Hard coal;Thousand tonnes;Exports;501.294
2017-11;Hard coal;Thousand tonnes;Exports;569.815
2017-12;Hard coal;Thousand tonnes;Exports;455.155
2018-01;Hard coal;Thousand tonnes;Exports;437.121
2018-02;Hard coal;Thousand tonnes;Exports;273.777
2018-03;Hard coal;Thousand tonnes;Exports;435.028
2018-04;Hard coal;Thousand tonnes;Exports;381.519
2018-05;Hard coal;Thousand tonnes;Exports;378.577
2018-06;Hard coal;Thousand tonnes;Exports;414.772
2018-07;Hard coal;Thousand tonnes;Exports;393.924
2018-08;Hard coal;Thousand tonnes;Exports;440.600
2018-09;Hard coal;Thousand tonnes;Exports;389.457
2018-10;Hard coal;Thousand tonnes;Exports;403.152
2018-11;Hard coal;Thousand tonnes;Exports;448.468
2018-12;Hard coal;Thousand tonnes;Exports;390.909
2019-01;Hard coal;Thousand tonnes;Exports;365.768
2019-02;Hard coal;Thousand tonnes;Exports;381.585
2019-03;Hard coal;Thousand tonnes;Exports;458.458
2019-04;Hard coal;Thousand tonnes;Exports;405.909
2019-05;Hard coal;Thousand tonnes;Exports;407.467
2019-06;Hard coal;Thousand tonnes;Exports;389.600
2019-07;Hard coal;Thousand tonnes;Exports;397.438
2019-08;Hard coal;Thousand tonnes;Exports;332.406
2019-09;Hard coal;Thousand tonnes;Exports;287.379
2019-10;Hard coal;Thousand tonnes;Exports;345.039
2019-11;Hard coal;Thousand tonnes;Exports;319.047
2019-12;Hard coal;Thousand tonnes;Exports;289.990
2020-01;Hard coal;Thousand tonnes;Exports;287.610
2020-02;Hard coal;Thousand tonnes;Exports;272.388
2020-03;Hard coal;Thousand tonnes;Exports;376.987
2020-04;Hard coal;Thousand tonnes;Exports;351.389
2020-05;Hard coal;Thousand tonnes;Exports;325.173
2020-06;Hard coal;Thousand tonnes;Exports;349.626
2020-07;Hard coal;Thousand tonnes;Exports;399.737
2020-08;Hard coal;Thousand tonnes;Exports;404.505
2020-09;Hard coal;Thousand tonnes;Exports;422.644
2020-10;Hard coal;Thousand tonnes;Exports;392.094
2020-11;Hard coal;Thousand tonnes;Exports;425.781
2020-12;Hard coal;Thousand tonnes;Exports;477.939
2021-01;Hard coal;Thousand tonnes;Exports;404.038
2021-02;Hard coal;Thousand tonnes;Exports;498.546
2021-03;Hard coal;Thousand tonnes;Exports;535.973
2021-04;Hard coal;Thousand tonnes;Exports;588.680
2021-05;Hard coal;Thousand tonnes;Exports;977.705
2021-06;Hard coal;Thousand tonnes;Exports;557.889
2021-07;Hard coal;Thousand tonnes;Exports;483.680
2021-08;Hard coal;Thousand tonnes;Exports;566.062
2021-09;Hard coal;Thousand tonnes;Exports;549.018
2021-10;Hard coal;Thousand tonnes;Exports;579.036
2021-11;Hard coal;Thousand tonnes;Exports;641.655
2021-12;Hard coal;Thousand tonnes;Exports;513.288
2022-01;Hard coal;Thousand tonnes;Exports;606.900
2022-02;Hard coal;Thousand tonnes;Exports;636.816
2022-03;Hard coal;Thousand tonnes;Exports;922.640
2022-04;Hard coal;Thousand tonnes;Exports;447.203
2022-05;Hard coal;Thousand tonnes;Exports;501.059
2022-06;Hard coal;Thousand tonnes;Exports;395.587
2022-07;Hard coal;Thousand tonnes;Exports;368.418
2022-08;Hard coal;Thousand tonnes;Exports;347.692
2022-09;Hard coal;Thousand tonnes;Exports;374.630
2022-10;Hard coal;Thousand tonnes;Exports;322.758
2022-11;Hard coal;Thousand tonnes;Exports;390.588
2022-12;Hard coal;Thousand tonnes;Exports;306.275
2023-01;Hard coal;Thousand tonnes;Exports;358.271
2023-02;Hard coal;Thousand tonnes;Exports;393.408
2023-03;Hard coal;Thousand tonnes;Exports;423.589
2023-04;Hard coal;Thousand tonnes;Exports;333.892
2023-05;Hard coal;Thousand tonnes;Exports;344.994
2023-06;Hard coal;Thousand tonnes;Exports;317.059
2023-07;Hard coal;Thousand tonnes;Exports;329.990
2023-08;Hard coal;Thousand tonnes;Exports;355.143
2023-09;Hard coal;Thousand tonnes;Exports;369.459
2023-10;Hard coal;Thousand tonnes;Exports;520.942
2023-11;Hard coal;Thousand tonnes;Exports;313.094
2023-12;Hard coal;Thousand tonnes;Exports;315.894
2024-01;Hard coal;Thousand tonnes;Exports;483.979
2024-02;Hard coal;Thousand tonnes;Exports;463.780
2024-03;Hard coal;Thousand tonnes;Exports;345.660
2024-04;Hard coal;Thousand tonnes;Exports;356.629
2024-05;Hard coal;Thousand tonnes;Exports;388.702
2024-06;Hard coal;Thousand tonnes;Exports;308.170
2024-07;Hard coal;Thousand tonnes;Exports;294.077
2024-08;Hard coal;Thousand tonnes;Exports;378.199
2024-09;Hard coal;Thousand tonnes;Exports;248.353
2024-10;Hard coal;Thousand tonnes;Exports;370.217
2024-11;Hard coal;Thousand tonnes;Exports;372.940
2024-12;Hard coal;Thousand tonnes;Exports;357.723
2025-01;Hard coal;Thousand tonnes;Exports;436.126
2025-02;Hard coal;Thousand tonnes;Exports;436.077
2025-03;Hard coal;Thousand tonnes;Exports;419.166
2025-04;Hard coal;Thousand tonnes;Exports;410.149
2025-05;Hard coal;Thousand tonnes;Exports;381.061
2025-06;Hard coal;Thousand tonnes;Exports;397.922
2025-07;Hard coal;Thousand tonnes;Exports;362.532
2025-08;Hard coal;Thousand tonnes;Exports;366.483
2008-01;Brown coal;Thousand tonnes;Exports;0.000
2008-02;Brown coal;Thousand tonnes;Exports;0.000
2008-03;Brown coal;Thousand tonnes;Exports;0.000
2008-04;Brown coal;Thousand tonnes;Exports;0.000
2008-05;Brown coal;Thousand tonnes;Exports;0.000
2008-06;Brown coal;Thousand tonnes;Exports;0.000
2008-07;Brown coal;Thousand tonnes;Exports;0.000
2008-08;Brown coal;Thousand tonnes;Exports;0.000
2008-09;Brown coal;Thousand tonnes;Exports;0.000
2008-10;Brown coal;Thousand tonnes;Exports;0.000
2008-11;Brown coal;Thousand tonnes;Exports;0.000
2008-12;Brown coal;Thousand tonnes;Exports;1.000
2009-01;Brown coal;Thousand tonnes;Exports;0.000
2009-02;Brown coal;Thousand tonnes;Exports;6.000
2009-03;Brown coal;Thousand tonnes;Exports;6.000
2009-04;Brown coal;Thousand tonnes;Exports;0.000
2009-05;Brown coal;Thousand tonnes;Exports;0.000
2009-06;Brown coal;Thousand tonnes;Exports;5.000
2009-07;Brown coal;Thousand tonnes;Exports;3.000
2009-08;Brown coal;Thousand tonnes;Exports;3.000
2009-09;Brown coal;Thousand tonnes;Exports;7.000
2009-10;Brown coal;Thousand tonnes;Exports;9.000
2009-11;Brown coal;Thousand tonnes;Exports;16.000
2009-12;Brown coal;Thousand tonnes;Exports;13.000
2010-01;Brown coal;Thousand tonnes;Exports;10.000
2010-02;Brown coal;Thousand tonnes;Exports;21.000
2010-03;Brown coal;Thousand tonnes;Exports;15.000
2010-04;Brown coal;Thousand tonnes;Exports;5.000
2010-05;Brown coal;Thousand tonnes;Exports;4.000
2010-06;Brown coal;Thousand tonnes;Exports;7.000
2010-07;Brown coal;Thousand tonnes;Exports;2.000
2010-08;Brown coal;Thousand tonnes;Exports;2.000
2010-09;Brown coal;Thousand tonnes;Exports;0.000
2010-10;Brown coal;Thousand tonnes;Exports;14.000
2010-11;Brown coal;Thousand tonnes;Exports;0.000
2010-12;Brown coal;Thousand tonnes;Exports;20.000
2011-01;Brown coal;Thousand tonnes;Exports;17.000
2011-02;Brown coal;Thousand tonnes;Exports;0.000
2011-03;Brown coal;Thousand tonnes;Exports;0.000
2011-04;Brown coal;Thousand tonnes;Exports;0.000
2011-05;Brown coal;Thousand tonnes;Exports;0.000
2011-06;Brown coal;Thousand tonnes;Exports;0.000
2011-07;Brown coal;Thousand tonnes;Exports;0.000
2011-08;Brown coal;Thousand tonnes;Exports;0.000
2011-09;Brown coal;Thousand tonnes;Exports;0.000
2011-10;Brown coal;Thousand tonnes;Exports;0.000
2011-11;Brown coal;Thousand tonnes;Exports;27.000
2011-12;Brown coal;Thousand tonnes;Exports;14.000
2012-01;Brown coal;Thousand tonnes;Exports;16.000
2012-02;Brown coal;Thousand tonnes;Exports;15.000
2012-03;Brown coal;Thousand tonnes;Exports;8.000
2012-04;Brown coal;Thousand tonnes;Exports;10.000
2012-05;Brown coal;Thousand tonnes;Exports;9.000
2012-06;Brown coal;Thousand tonnes;Exports;2.000
2012-07;Brown coal;Thousand tonnes;Exports;0.000
2012-08;Brown coal;Thousand tonnes;Exports;12.000
2012-09;Brown coal;Thousand tonnes;Exports;5.000
2012-10;Brown coal;Thousand tonnes;Exports;15.000
2012-11;Brown coal;Thousand tonnes;Exports;20.000
2012-12;Brown coal;Thousand tonnes;Exports;22.000
2013-01;Brown coal;Thousand tonnes;Exports;18.000
2013-02;Brown coal;Thousand tonnes;Exports;18.000
2013-03;Brown coal;Thousand tonnes;Exports;15.000
2013-04;Brown coal;Thousand tonnes;Exports;16.000
2013-05;Brown coal;Thousand tonnes;Exports;24.000
2013-06;Brown coal;Thousand tonnes;Exports;0.000
2013-07;Brown coal;Thousand tonnes;Exports;0.000
2013-08;Brown coal;Thousand tonnes;Exports;1.000
2013-09;Brown coal;Thousand tonnes;Exports;11.000
2013-10;Brown coal;Thousand tonnes;Exports;39.000
2013-11;Brown coal;Thousand tonnes;Exports;42.000
2013-12;Brown coal;Thousand tonnes;Exports;34.000
2014-01;Brown coal;Thousand tonnes;Exports;36.000
2014-02;Brown coal;Thousand tonnes;Exports;28.000
2014-03;Brown coal;Thousand tonnes;Exports;12.000
2014-04;Brown coal;Thousand tonnes;Exports;17.000
2014-05;Brown coal;Thousand tonnes;Exports;13.000
2014-06;Brown coal;Thousand tonnes;Exports;12.000
2014-07;Brown coal;Thousand tonnes;Exports;10.000
2014-08;Brown coal;Thousand tonnes;Exports;16.000
2014-09;Brown coal;Thousand tonnes;Exports;37.000
2014-10;Brown coal;Thousand tonnes;Exports;35.000
2014-11;Brown coal;Thousand tonnes;Exports;51.000
2014-12;Brown coal;Thousand tonnes;Exports;36.000
2015-01;Brown coal;Thousand tonnes;Exports;21.000
2015-02;Brown coal;Thousand tonnes;Exports;16.000
2015-03;Brown coal;Thousand tonnes;Exports;19.000
2015-04;Brown coal;Thousand tonnes;Exports;13.000
2015-05;Brown coal;Thousand tonnes;Exports;12.000
2015-06;Brown coal;Thousand tonnes;Exports;11.000
2015-07;Brown coal;Thousand tonnes;Exports;15.000
2015-08;Brown coal;Thousand tonnes;Exports;4.000
2015-09;Brown coal;Thousand tonnes;Exports;16.000
2015-10;Brown coal;Thousand tonnes;Exports;22.000
2015-11;Brown coal;Thousand tonnes;Exports;27.000
2015-12;Brown coal;Thousand tonnes;Exports;21.000
2016-01;Brown coal;Thousand tonnes;Exports;96.000
2016-02;Brown coal;Thousand tonnes;Exports;13.000
2016-03;Brown coal;Thousand tonnes;Exports;7.000
2016-04;Brown coal;Thousand tonnes;Exports;6.000
2016-05;Brown coal;Thousand tonnes;Exports;9.000
2016-06;Brown coal;Thousand tonnes;Exports;20.000
2016-07;Brown coal;Thousand tonnes;Exports;0.000
2016-08;Brown coal;Thousand tonnes;Exports;1.000
2016-09;Brown coal;Thousand tonnes;Exports;16.000
2016-10;Brown coal;Thousand tonnes;Exports;2.000
2016-11;Brown coal;Thousand tonnes;Exports;15.000
2016-12;Brown coal;Thousand tonnes;Exports;27.000
2017-01;Brown coal;Thousand tonnes;Exports;17.347
2017-02;Brown coal;Thousand tonnes;Exports;11.172
2017-03;Brown coal;Thousand tonnes;Exports;21.959
2017-04;Brown coal;Thousand tonnes;Exports;20.602
2017-05;Brown coal;Thousand tonnes;Exports;23.037
2017-06;Brown coal;Thousand tonnes;Exports;15.178
2017-07;Brown coal;Thousand tonnes;Exports;0.019
2017-08;Brown coal;Thousand tonnes;Exports;14.120
2017-09;Brown coal;Thousand tonnes;Exports;27.377
2017-10;Brown coal;Thousand tonnes;Exports;28.089
2017-11;Brown coal;Thousand tonnes;Exports;40.635
2017-12;Brown coal;Thousand tonnes;Exports;36.351
2018-01;Brown coal;Thousand tonnes;Exports;32.687
2018-02;Brown coal;Thousand tonnes;Exports;36.881
2018-03;Brown coal;Thousand tonnes;Exports;30.050
2018-04;Brown coal;Thousand tonnes;Exports;12.397
2018-05;Brown coal;Thousand tonnes;Exports;18.550
2018-06;Brown coal;Thousand tonnes;Exports;18.660
2018-07;Brown coal;Thousand tonnes;Exports;0.101
2018-08;Brown coal;Thousand tonnes;Exports;23.594
2018-09;Brown coal;Thousand tonnes;Exports;23.528
2018-10;Brown coal;Thousand tonnes;Exports;32.751
2018-11;Brown coal;Thousand tonnes;Exports;32.196
2018-12;Brown coal;Thousand tonnes;Exports;25.630
2019-01;Brown coal;Thousand tonnes;Exports;16.574
2019-02;Brown coal;Thousand tonnes;Exports;23.615
2019-03;Brown coal;Thousand tonnes;Exports;25.308
2019-04;Brown coal;Thousand tonnes;Exports;7.581
2019-05;Brown coal;Thousand tonnes;Exports;1.841
2019-06;Brown coal;Thousand tonnes;Exports;0.988
2019-07;Brown coal;Thousand tonnes;Exports;0.110
2019-08;Brown coal;Thousand tonnes;Exports;11.128
2019-09;Brown coal;Thousand tonnes;Exports;4.637
2019-10;Brown coal;Thousand tonnes;Exports;22.520
2019-11;Brown coal;Thousand tonnes;Exports;20.522
2019-12;Brown coal;Thousand tonnes;Exports;11.919
2020-01;Brown coal;Thousand tonnes;Exports;17.149
2020-02;Brown coal;Thousand tonnes;Exports;14.330
2020-03;Brown coal;Thousand tonnes;Exports;4.575
2020-04;Brown coal;Thousand tonnes;Exports;1.331
2020-05;Brown coal;Thousand tonnes;Exports;0.129
2020-06;Brown coal;Thousand tonnes;Exports;0.666
2020-07;Brown coal;Thousand tonnes;Exports;0.026
2020-08;Brown coal;Thousand tonnes;Exports;0.696
2020-09;Brown coal;Thousand tonnes;Exports;2.570
2020-10;Brown coal;Thousand tonnes;Exports;4.590
2020-11;Brown coal;Thousand tonnes;Exports;4.591
2020-12;Brown coal;Thousand tonnes;Exports;3.292
2021-01;Brown coal;Thousand tonnes;Exports;1.115
2021-02;Brown coal;Thousand tonnes;Exports;0.837
2021-03;Brown coal;Thousand tonnes;Exports;0.406
2021-04;Brown coal;Thousand tonnes;Exports;0.301
2021-05;Brown coal;Thousand tonnes;Exports;0.504
2021-06;Brown coal;Thousand tonnes;Exports;0.662
2021-07;Brown coal;Thousand tonnes;Exports;0.000
2021-08;Brown coal;Thousand tonnes;Exports;0.024
2021-09;Brown coal;Thousand tonnes;Exports;0.024
2021-10;Brown coal;Thousand tonnes;Exports;1.830
2021-11;Brown coal;Thousand tonnes;Exports;1.880
2021-12;Brown coal;Thousand tonnes;Exports;0.153
2022-01;Brown coal;Thousand tonnes;Exports;0.025
2022-02;Brown coal;Thousand tonnes;Exports;0.102
2022-03;Brown coal;Thousand tonnes;Exports;0.000
2022-04;Brown coal;Thousand tonnes;Exports;0.130
2022-05;Brown coal;Thousand tonnes;Exports;0.000
2022-06;Brown coal;Thousand tonnes;Exports;0.000
2022-07;Brown coal;Thousand tonnes;Exports;0.052
2022-08;Brown coal;Thousand tonnes;Exports;0.024
2022-09;Brown coal;Thousand tonnes;Exports;0.000
2022-10;Brown coal;Thousand tonnes;Exports;0.000
