TIME_PERIOD;TYPE;UNIT;OPERATION;OBS_VALUE
2010-09;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;160.000
2010-10;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;193.000
2010-11;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;175.000
2010-12;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;152.000
2011-01;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;194.000
2011-02;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;161.000
2011-03;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;203.000
2011-04;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;194.000
2011-05;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;189.000
2011-06;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;174.000
2011-07;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;164.000
2011-08;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;166.000
2011-09;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;180.000
2011-10;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;158.000
2011-11;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;164.000
2011-12;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;219.000
2012-01;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;205.000
2012-02;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;204.000
2012-03;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;193.000
2012-04;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;185.000
2012-05;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;181.000
2012-06;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;165.000
2012-07;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;180.000
2012-08;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;187.000
2012-09;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;187.000
2012-10;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;162.000
2012-11;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;135.000
2012-12;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;170.000
2013-01;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;200.000
2013-02;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;196.000
2013-03;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;208.000
2013-04;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;200.000
2013-05;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;179.000
2013-06;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;153.000
2013-07;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;218.000
2013-08;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;220.000
2013-09;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;205.000
2013-10;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;165.000
2013-11;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;148.000
2013-12;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;171.000
2014-01;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;227.000
2014-02;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;211.000
2014-03;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;213.000
2014-04;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;171.000
2014-05;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;198.000
2014-06;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;217.000
2014-07;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;221.000
2014-08;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;199.000
2014-09;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;196.000
2014-10;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;188.000
2014-11;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;177.000
2014-12;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;188.000
2015-01;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;194.000
2015-02;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;207.000
2015-03;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;212.000
2015-04;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;246.000
2015-05;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;216.000
2015-06;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;247.000
2015-07;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;239.000
2015-08;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;212.000
2015-09;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;212.000
2015-10;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;215.000
2015-11;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;178.000
2015-12;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;202.000
2016-01;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;212.000
2016-02;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;209.000
2016-03;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;234.000
2016-04;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;216.000
2016-05;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;184.000
2016-06;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;179.000
2016-07;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;180.000
2016-08;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;214.000
2016-09;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;181.000
2016-10;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;223.000
2016-11;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;207.000
2016-12;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;215.000
2017-01;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;228.969
2017-02;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;206.216
2017-03;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;181.212
2017-04;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;199.768
2017-05;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;217.140
2017-06;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;209.395
2017-07;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;219.444
2017-08;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;210.713
2017-09;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;216.787
2017-10;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;192.227
2017-11;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;202.166
2017-12;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;201.620
2018-01;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;223.643
2018-02;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;203.732
2018-03;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;244.880
2018-04;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;194.687
2018-05;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;221.115
2018-06;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;217.666
2018-07;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;184.777
2018-08;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;160.749
2018-09;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;187.625
2018-10;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;217.605
2018-11;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;207.644
2018-12;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;223.104
2019-01;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;222.100
2019-02;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;191.639
2019-03;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;219.706
2019-04;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;190.258
2019-05;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;191.017
2019-06;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;162.327
2019-07;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;170.897
2019-08;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;169.741
2019-09;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;156.449
2019-10;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;146.143
2019-11;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;171.350
2019-12;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;148.590
2020-01;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;161.814
2020-02;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;149.390
2020-03;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;162.560
2020-04;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;165.523
2020-05;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;143.620
2020-06;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;133.188
2020-07;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;163.357
2020-08;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;120.942
2020-09;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;147.468
2020-10;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;162.652
2020-11;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;146.125
2020-12;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;170.417
2021-01;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;180.074
2021-02;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;176.346
2021-03;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;172.774
2021-04;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;153.111
2021-05;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;170.042
2021-06;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;169.038
2021-07;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;163.353
2021-08;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;176.578
2021-09;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;170.001
2021-10;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;162.901
2021-11;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;188.157
2021-12;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;173.865
2022-01;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;205.059
2022-02;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;178.785
2022-03;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;167.907
2022-04;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;154.628
2022-05;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;180.962
2022-06;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;161.607
2022-07;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;165.645
2022-08;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;177.293
2022-09;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;157.934
2022-10;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;116.606
2022-11;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;98.047
2022-12;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;101.261
2023-01;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;163.812
2023-02;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;165.353
2023-03;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;173.540
2023-04;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;113.449
2023-05;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;121.007
2023-06;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;96.483
2023-07;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;115.831
2023-08;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;164.905
2023-09;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;182.859
2023-10;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;179.706
2023-11;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;140.274
2023-12;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;149.529
2024-01;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;171.357
2024-02;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;153.796
2024-03;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;167.492
2024-04;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;159.538
2024-05;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;170.656
2024-06;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;167.317
2024-07;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;177.564
2024-08;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;169.388
2024-09;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;166.914
2024-10;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;199.290
2024-11;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;179.978
2024-12;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;153.755
2025-01;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;145.136
2025-02;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;160.154
2025-03;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;176.664
2025-04;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;173.204
2025-05;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;168.413
2025-06;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;184.531
2025-07;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;162.457
2025-08;Coke oven coke;Thousand tonnes;Final consumption - industry sector - iron and steel;172.271
2008-01;Hard coal;Thousand tonnes;Final consumption - other sectors;1607.000
2008-02;Hard coal;Thousand tonnes;Final consumption - other sectors;1217.000
2008-03;Hard coal;Thousand tonnes;Final consumption - other sectors;1311.000
2008-04;Hard coal;Thousand tonnes;Final consumption - other sectors;1476.000
2008-05;Hard coal;Thousand tonnes;Final consumption - other sectors;1309.000
2008-06;Hard coal;Thousand tonnes;Final consumption - other sectors;1558.000
2008-07;Hard coal;Thousand tonnes;Final consumption - other sectors;1625.000
2008-08;Hard coal;Thousand tonnes;Final consumption - other sectors;1398.000
2008-09;Hard coal;Thousand tonnes;Final consumption - other sectors;1562.000
2008-10;Hard coal;Thousand tonnes;Final consumption - other sectors;1612.000
2008-11;Hard coal;Thousand tonnes;Final consumption - other sectors;1250.000
2008-12;Hard coal;Thousand tonnes;Final consumption - other sectors;1217.000
2009-01;Hard coal;Thousand tonnes;Final consumption - other sectors;1170.000
2009-02;Hard coal;Thousand tonnes;Final consumption - other sectors;1090.000
2009-03;Hard coal;Thousand tonnes;Final consumption - other sectors;1301.000
2009-04;Hard coal;Thousand tonnes;Final consumption - other sectors;1059.000
2009-05;Hard coal;Thousand tonnes;Final consumption - other sectors;1171.000
2009-06;Hard coal;Thousand tonnes;Final consumption - other sectors;1108.000
2009-07;Hard coal;Thousand tonnes;Final consumption - other sectors;1081.000
2009-08;Hard coal;Thousand tonnes;Final consumption - other sectors;1132.000
2009-09;Hard coal;Thousand tonnes;Final consumption - other sectors;1362.000
2009-10;Hard coal;Thousand tonnes;Final consumption - other sectors;1102.000
2009-11;Hard coal;Thousand tonnes;Final consumption - other sectors;844.000
2009-12;Hard coal;Thousand tonnes;Final consumption - other sectors;816.000
2010-01;Hard coal;Thousand tonnes;Final consumption - other sectors;1079.000
2010-02;Hard coal;Thousand tonnes;Final consumption - other sectors;1218.000
2010-03;Hard coal;Thousand tonnes;Final consumption - other sectors;1278.000
2010-04;Hard coal;Thousand tonnes;Final consumption - other sectors;850.000
2010-05;Hard coal;Thousand tonnes;Final consumption - other sectors;772.000
2010-06;Hard coal;Thousand tonnes;Final consumption - other sectors;1163.000
2010-07;Hard coal;Thousand tonnes;Final consumption - other sectors;1342.000
2010-08;Hard coal;Thousand tonnes;Final consumption - other sectors;1164.000
2010-09;Hard coal;Thousand tonnes;Final consumption - other sectors;1339.000
2010-10;Hard coal;Thousand tonnes;Final consumption - other sectors;1389.000
2010-11;Hard coal;Thousand tonnes;Final consumption - other sectors;1321.000
2010-12;Hard coal;Thousand tonnes;Final consumption - other sectors;1306.000
2011-01;Hard coal;Thousand tonnes;Final consumption - other sectors;1091.000
2011-02;Hard coal;Thousand tonnes;Final consumption - other sectors;1154.000
2011-03;Hard coal;Thousand tonnes;Final consumption - other sectors;1443.000
2011-04;Hard coal;Thousand tonnes;Final consumption - other sectors;1222.000
2011-05;Hard coal;Thousand tonnes;Final consumption - other sectors;1354.000
2011-06;Hard coal;Thousand tonnes;Final consumption - other sectors;1442.000
2011-07;Hard coal;Thousand tonnes;Final consumption - other sectors;1209.000
2011-08;Hard coal;Thousand tonnes;Final consumption - other sectors;1152.000
2011-09;Hard coal;Thousand tonnes;Final consumption - other sectors;1361.000
2011-10;Hard coal;Thousand tonnes;Final consumption - other sectors;1144.000
2011-11;Hard coal;Thousand tonnes;Final consumption - other sectors;1049.000
2011-12;Hard coal;Thousand tonnes;Final consumption - other sectors;1058.000
2012-01;Hard coal;Thousand tonnes;Final consumption - other sectors;616.000
2012-02;Hard coal;Thousand tonnes;Final consumption - other sectors;978.000
2012-03;Hard coal;Thousand tonnes;Final consumption - other sectors;1068.000
2012-04;Hard coal;Thousand tonnes;Final consumption - other sectors;1004.000
2012-05;Hard coal;Thousand tonnes;Final consumption - other sectors;1238.000
2012-06;Hard coal;Thousand tonnes;Final consumption - other sectors;1261.000
2012-07;Hard coal;Thousand tonnes;Final consumption - other sectors;1029.000
2012-08;Hard coal;Thousand tonnes;Final consumption - other sectors;1094.000
2012-09;Hard coal;Thousand tonnes;Final consumption - other sectors;1228.000
2012-10;Hard coal;Thousand tonnes;Final consumption - other sectors;1386.000
2012-11;Hard coal;Thousand tonnes;Final consumption - other sectors;916.000
2012-12;Hard coal;Thousand tonnes;Final consumption - other sectors;731.000
2013-01;Hard coal;Thousand tonnes;Final consumption - other sectors;989.000
2013-02;Hard coal;Thousand tonnes;Final consumption - other sectors;934.000
2013-03;Hard coal;Thousand tonnes;Final consumption - other sectors;1221.000
2013-04;Hard coal;Thousand tonnes;Final consumption - other sectors;1251.000
2013-05;Hard coal;Thousand tonnes;Final consumption - other sectors;1014.000
2013-06;Hard coal;Thousand tonnes;Final consumption - other sectors;987.000
2013-07;Hard coal;Thousand tonnes;Final consumption - other sectors;1294.000
2013-08;Hard coal;Thousand tonnes;Final consumption - other sectors;1290.000
2013-09;Hard coal;Thousand tonnes;Final consumption - other sectors;1302.000
2013-10;Hard coal;Thousand tonnes;Final consumption - other sectors;1430.000
2013-11;Hard coal;Thousand tonnes;Final consumption - other sectors;1155.000
2013-12;Hard coal;Thousand tonnes;Final consumption - other sectors;1122.000
2014-01;Hard coal;Thousand tonnes;Final consumption - other sectors;890.000
2014-02;Hard coal;Thousand tonnes;Final consumption - other sectors;862.000
2014-03;Hard coal;Thousand tonnes;Final consumption - other sectors;905.000
2014-04;Hard coal;Thousand tonnes;Final consumption - other sectors;767.000
2014-05;Hard coal;Thousand tonnes;Final consumption - other sectors;750.000
2014-06;Hard coal;Thousand tonnes;Final consumption - other sectors;789.000
2014-07;Hard coal;Thousand tonnes;Final consumption - other sectors;905.000
2014-08;Hard coal;Thousand tonnes;Final consumption - other sectors;898.000
2014-09;Hard coal;Thousand tonnes;Final consumption - other sectors;1331.000
2014-10;Hard coal;Thousand tonnes;Final consumption - other sectors;1331.000
2014-11;Hard coal;Thousand tonnes;Final consumption - other sectors;876.000
2014-12;Hard coal;Thousand tonnes;Final consumption - other sectors;834.000
2015-01;Hard coal;Thousand tonnes;Final consumption - other sectors;766.000
2015-02;Hard coal;Thousand tonnes;Final consumption - other sectors;766.000
2015-03;Hard coal;Thousand tonnes;Final consumption - other sectors;1063.000
2015-04;Hard coal;Thousand tonnes;Final consumption - other sectors;885.000
2015-05;Hard coal;Thousand tonnes;Final consumption - other sectors;852.000
2015-06;Hard coal;Thousand tonnes;Final consumption - other sectors;1038.000
2015-07;Hard coal;Thousand tonnes;Final consumption - other sectors;977.000
2015-08;Hard coal;Thousand tonnes;Final consumption - other sectors;974.000
2015-09;Hard coal;Thousand tonnes;Final consumption - other sectors;1311.000
2015-10;Hard coal;Thousand tonnes;Final consumption - other sectors;1330.000
2015-11;Hard coal;Thousand tonnes;Final consumption - other sectors;1104.000
2015-12;Hard coal;Thousand tonnes;Final consumption - other sectors;1892.000
2016-01;Hard coal;Thousand tonnes;Final consumption - other sectors;1138.000
2016-02;Hard coal;Thousand tonnes;Final consumption - other sectors;702.000
2016-03;Hard coal;Thousand tonnes;Final consumption - other sectors;1073.000
2016-04;Hard coal;Thousand tonnes;Final consumption - other sectors;825.000
2016-05;Hard coal;Thousand tonnes;Final consumption - other sectors;1020.000
2016-06;Hard coal;Thousand tonnes;Final consumption - other sectors;798.000
2016-07;Hard coal;Thousand tonnes;Final consumption - other sectors;711.000
2016-08;Hard coal;Thousand tonnes;Final consumption - other sectors;936.000
2016-09;Hard coal;Thousand tonnes;Final consumption - other sectors;3291.000
2016-10;Hard coal;Thousand tonnes;Final consumption - other sectors;1313.000
2016-11;Hard coal;Thousand tonnes;Final consumption - other sectors;1165.000
2016-12;Hard coal;Thousand tonnes;Final consumption - other sectors;1151.000
2017-01;Hard coal;Thousand tonnes;Final consumption - other sectors;983.531
2017-02;Hard coal;Thousand tonnes;Final consumption - other sectors;978.535
2017-03;Hard coal;Thousand tonnes;Final consumption - other sectors;1348.747
2017-04;Hard coal;Thousand tonnes;Final consumption - other sectors;956.126
2017-05;Hard coal;Thousand tonnes;Final consumption - other sectors;1041.719
2017-06;Hard coal;Thousand tonnes;Final consumption - other sectors;1001.986
2017-07;Hard coal;Thousand tonnes;Final consumption - other sectors;864.367
2017-08;Hard coal;Thousand tonnes;Final consumption - other sectors;951.048
2017-09;Hard coal;Thousand tonnes;Final consumption - other sectors;939.115
2017-10;Hard coal;Thousand tonnes;Final consumption - other sectors;1015.413
2017-11;Hard coal;Thousand tonnes;Final consumption - other sectors;842.871
2017-12;Hard coal;Thousand tonnes;Final consumption - other sectors;978.621
2018-01;Hard coal;Thousand tonnes;Final consumption - other sectors;800.219
2018-02;Hard coal;Thousand tonnes;Final consumption - other sectors;793.716
2018-03;Hard coal;Thousand tonnes;Final consumption - other sectors;850.387
2018-04;Hard coal;Thousand tonnes;Final consumption - other sectors;734.363
2018-05;Hard coal;Thousand tonnes;Final consumption - other sectors;728.390
2018-06;Hard coal;Thousand tonnes;Final consumption - other sectors;818.129
2018-07;Hard coal;Thousand tonnes;Final consumption - other sectors;850.000
2018-08;Hard coal;Thousand tonnes;Final consumption - other sectors;818.582
2018-09;Hard coal;Thousand tonnes;Final consumption - other sectors;822.281
2018-10;Hard coal;Thousand tonnes;Final consumption - other sectors;939.476
2018-11;Hard coal;Thousand tonnes;Final consumption - other sectors;733.068
2018-12;Hard coal;Thousand tonnes;Final consumption - other sectors;626.254
2019-01;Hard coal;Thousand tonnes;Final consumption - other sectors;661.390
2019-02;Hard coal;Thousand tonnes;Final consumption - other sectors;649.923
2019-03;Hard coal;Thousand tonnes;Final consumption - other sectors;750.820
2019-04;Hard coal;Thousand tonnes;Final consumption - other sectors;676.969
2019-05;Hard coal;Thousand tonnes;Final consumption - other sectors;618.635
2019-06;Hard coal;Thousand tonnes;Final consumption - other sectors;647.943
2019-07;Hard coal;Thousand tonnes;Final consumption - other sectors;708.705
2019-08;Hard coal;Thousand tonnes;Final consumption - other sectors;657.686
2019-09;Hard coal;Thousand tonnes;Final consumption - other sectors;735.626
2019-10;Hard coal;Thousand tonnes;Final consumption - other sectors;774.807
2019-11;Hard coal;Thousand tonnes;Final consumption - other sectors;858.109
2019-12;Hard coal;Thousand tonnes;Final consumption - other sectors;943.345
2020-01;Hard coal;Thousand tonnes;Final consumption - other sectors;908.316
2020-02;Hard coal;Thousand tonnes;Final consumption - other sectors;830.064
2020-03;Hard coal;Thousand tonnes;Final consumption - other sectors;1072.299
2020-04;Hard coal;Thousand tonnes;Final consumption - other sectors;967.402
2020-05;Hard coal;Thousand tonnes;Final consumption - other sectors;1063.337
2020-06;Hard coal;Thousand tonnes;Final consumption - other sectors;1097.922
2020-07;Hard coal;Thousand tonnes;Final consumption - other sectors;1508.725
2020-08;Hard coal;Thousand tonnes;Final consumption - other sectors;1097.976
2020-09;Hard coal;Thousand tonnes;Final consumption - other sectors;1543.966
2020-10;Hard coal;Thousand tonnes;Final consumption - other sectors;1714.079
2020-11;Hard coal;Thousand tonnes;Final consumption - other sectors;1104.109
2020-12;Hard coal;Thousand tonnes;Final consumption - other sectors;1014.456
2021-01;Hard coal;Thousand tonnes;Final consumption - other sectors;1110.508
2021-02;Hard coal;Thousand tonnes;Final consumption - other sectors;1168.404
2021-03;Hard coal;Thousand tonnes;Final consumption - other sectors;1275.463
2021-04;Hard coal;Thousand tonnes;Final consumption - other sectors;1086.651
2021-05;Hard coal;Thousand tonnes;Final consumption - other sectors;1088.654
2021-06;Hard coal;Thousand tonnes;Final consumption - other sectors;1226.718
2021-07;Hard coal;Thousand tonnes;Final consumption - other sectors;1238.393
2021-08;Hard coal;Thousand tonnes;Final consumption - other sectors;1203.936
2021-09;Hard coal;Thousand tonnes;Final consumption - other sectors;1405.930
2021-10;Hard coal;Thousand tonnes;Final consumption - other sectors;730.190
2021-11;Hard coal;Thousand tonnes;Final consumption - other sectors;1227.940
2021-12;Hard coal;Thousand tonnes;Final consumption - other sectors;1119.365
2022-01;Hard coal;Thousand tonnes;Final consumption - other sectors;922.614
2022-02;Hard coal;Thousand tonnes;Final consumption - other sectors;960.787
2022-03;Hard coal;Thousand tonnes;Final consumption - other sectors;1228.541
2022-04;Hard coal;Thousand tonnes;Final consumption - other sectors;1024.138
2022-05;Hard coal;Thousand tonnes;Final consumption - other sectors;754.551
2022-06;Hard coal;Thousand tonnes;Final consumption - other sectors;670.589
