DATAFLOW,LAST UPDATE,freq,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2020-06,7544.266,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2020-07,7987.721,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2020-08,8390.279,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2020-09,8360.019,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2020-10,8804.393,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2020-11,8810.169,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2020-12,9148.389,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2021-01,10518.363,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2021-02,9328.132,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2021-03,9461.279,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2021-04,8746.641,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2021-05,8271.355,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2021-06,9073.239,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2021-07,10049.604,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2021-08,9605.352,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2021-09,10372.218,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2021-10,9829.364,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2021-11,10450.274,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2021-12,11515.358,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2022-01,10061.746,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2022-02,8548.867,,
