DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2011-07,348.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2011-08,603.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2011-09,686.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2011-10,553.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2011-11,527.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2011-12,492.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2012-01,308.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2012-02,486.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2012-03,534.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2012-04,395.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2012-05,421.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2012-06,431.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2012-07,468.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2012-08,611.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2012-09,803.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2012-10,833.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2012-11,868.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2012-12,717.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2013-01,687.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2013-02,1001.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2013-03,996.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2013-04,963.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2013-05,1069.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2013-06,1125.000,,
