TIME_PERIOD,Energochlonnosc finalna PKB,Energochlonnosc finalna PKB z korekta klimatyczna,ELECTRICITY_PRICE,Energochlonnosc pierwotna PKB
2022-07,0.181,0.125,566.33,0.18
2022-08,0.181,0.125,566.33,0.18
2022-09,0.181,0.125,566.33,0.18
2022-10,0.181,0.125,586.79,0.18
2022-11,0.181,0.125,586.79,0.18
2022-12,0.181,0.125,586.79,0.18
2023-01,0.172,0.123,889.69,0.169
2023-02,0.172,0.123,889.69,0.169
2023-03,0.172,0.123,889.69,0.169
2023-04,0.172,0.123,751.44,0.169
2023-05,0.172,0.123,751.44,0.169
2023-06,0.172,0.123,751.44,0.169
2023-07,0.172,0.123,736.39,0.169
2023-08,0.172,0.123,736.39,0.169
2023-09,0.172,0.123,736.39,0.169
2023-10,0.172,0.123,679.2,0.169
2023-11,0.172,0.123,679.2,0.169
2023-12,0.172,0.123,679.2,0.169
2024-01,,,511.34,
2024-02,,,511.34,
2024-03,,,511.34,
2024-04,,,497.89,
2024-05,,,497.89,
2024-06,,,497.89,
2024-07,,,526.24,
2024-08,,,526.24,
2024-09,,,526.24,
2024-10,,,537.53,
2024-11,,,537.53,
2024-12,,,537.53,
2025-01,,,474.68,
2025-02,,,474.68,
2025-03,,,474.68,
2025-04,,,424.37,
2025-05,,,424.37,
2025-06,,,424.37,
