TIME_PERIOD,brown coal - change in stock - thousand tonnes,brown coal - closing stocks on national territory - thousand tonnes,brown coal - exports - thousand tonnes,brown coal - gross inland deliveries - calculated - thousand tonnes,brown coal - imports - thousand tonnes,brown coal - indigenous production - thousand tonnes,brown coal - opening stocks on national territory - thousand tonnes,brown coal - transformation input - electricity and heat generation - main activity producers - thousand tonnes,coke oven coke - change in stock - thousand tonnes,coke oven coke - closing stocks on national territory - thousand tonnes,coke oven coke - exports - thousand tonnes,coke oven coke - final consumption - industry sector - iron and steel - thousand tonnes,coke oven coke - gross inland deliveries - calculated - thousand tonnes,coke oven coke - imports - thousand tonnes,coke oven coke - imports from outside eu - thousand tonnes,coke oven coke - indigenous production - thousand tonnes,coke oven coke - opening stocks on national territory - thousand tonnes,hard coal - change in stock - thousand tonnes,hard coal - closing stocks on national territory - thousand tonnes,hard coal - exports - thousand tonnes,hard coal - final consumption - industry sector - iron and steel - thousand tonnes,hard coal - final consumption - industry sector - thousand tonnes,hard coal - final consumption - other sectors - thousand tonnes,hard coal - gross inland deliveries - calculated - thousand tonnes,hard coal - gross inland deliveries - observed - thousand tonnes,hard coal - imports - thousand tonnes,hard coal - imports from outside eu - thousand tonnes,hard coal - indigenous production - thousand tonnes,hard coal - opening stocks on national territory - thousand tonnes,hard coal - recovered and recycled products - thousand tonnes,hard coal - statistical differences - thousand tonnes,hard coal - transformation input - coke ovens - thousand tonnes,hard coal - transformation input - electricity and heat generation - main activity producers - thousand tonnes,oil shale and oil sands - change in stock - thousand tonnes,oil shale and oil sands - closing stocks on national territory - thousand tonnes,oil shale and oil sands - exports - thousand tonnes,oil shale and oil sands - gross inland deliveries - calculated - thousand tonnes,oil shale and oil sands - imports - thousand tonnes,oil shale and oil sands - indigenous production - thousand tonnes,oil shale and oil sands - opening stocks on national territory - thousand tonnes,oil shale and oil sands - transformation input - electricity and heat generation - main activity producers - thousand tonnes,peat - change in stock - thousand tonnes,peat - closing stocks on national territory - thousand tonnes,peat - exports - thousand tonnes,peat - gross inland deliveries - calculated - thousand tonnes,peat - imports - thousand tonnes,peat - indigenous production - thousand tonnes,peat - opening stocks on national territory - thousand tonnes,peat - transformation input - electricity and heat generation - main activity producers - thousand tonnes
2008-11,8.0,360.0,0.0,5155.0,0.0,5147.0,368.0,5059.0,-114.0,376.0,167.0,126.0,380.0,5.0,,656.0,262.0,2.0,8642.0,521.0,,497.0,1250.0,7066.0,,1035.0,,6499.0,8283.0,51.0,,586.0,3465.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12,-78.0,438.0,1.0,5161.0,0.0,5240.0,360.0,5060.0,-283.0,659.0,279.0,101.0,59.0,1.0,,620.0,376.0,-352.0,9357.0,493.0,,532.0,1217.0,7156.0,,1405.0,,6550.0,8642.0,46.0,,779.0,3481.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01,52.0,386.0,0.0,5540.0,0.0,5488.0,438.0,5374.0,-116.0,775.0,242.0,118.0,252.0,4.0,,606.0,659.0,-491.0,9917.0,446.0,,645.0,1170.0,7359.0,,1414.0,,6840.0,9357.0,42.0,,804.0,3642.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02,-3.0,389.0,6.0,4848.0,0.0,4857.0,386.0,4738.0,-79.0,854.0,295.0,131.0,171.0,0.0,,545.0,775.0,-434.0,10140.0,492.0,,650.0,1090.0,6684.0,,1245.0,,6316.0,9917.0,49.0,,723.0,3009.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03,-3.0,392.0,6.0,4937.0,0.0,4946.0,389.0,4852.0,-55.0,909.0,355.0,129.0,168.0,2.0,,576.0,854.0,-533.0,10273.0,693.0,,763.0,1301.0,6354.0,,733.0,,6804.0,10140.0,43.0,,623.0,2979.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-04,125.0,267.0,0.0,4291.0,0.0,4166.0,392.0,4257.0,-24.0,933.0,202.0,85.0,224.0,7.0,,443.0,909.0,-1168.0,11434.0,536.0,,470.0,1059.0,5429.0,,598.0,,6475.0,10273.0,60.0,,585.0,2565.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-05,64.0,203.0,0.0,4302.0,0.0,4238.0,267.0,4272.0,34.0,899.0,181.0,89.0,244.0,2.0,,389.0,933.0,-397.0,11608.0,456.0,,477.0,1171.0,5729.0,,554.0,,5966.0,11434.0,62.0,,515.0,2822.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-06,-29.0,232.0,5.0,4385.0,0.0,4419.0,203.0,4357.0,176.0,723.0,398.0,112.0,134.0,4.0,,352.0,899.0,-767.0,12487.0,635.0,,515.0,1108.0,5545.0,,624.0,,6269.0,11608.0,54.0,,466.0,2624.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-07,-18.0,250.0,3.0,4857.0,0.0,4878.0,232.0,4846.0,161.0,562.0,393.0,198.0,209.0,3.0,,438.0,723.0,-558.0,13278.0,711.0,,577.0,1081.0,6045.0,,616.0,,6642.0,12487.0,56.0,,579.0,2976.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-08,-114.0,364.0,3.0,4644.0,0.0,4761.0,250.0,4560.0,86.0,476.0,347.0,180.0,305.0,3.0,,563.0,562.0,213.0,13417.0,759.0,,554.0,1132.0,6184.0,,750.0,,5924.0,13278.0,56.0,,639.0,2991.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-09,91.0,273.0,7.0,4754.0,0.0,4670.0,364.0,4643.0,83.0,393.0,559.0,155.0,225.0,7.0,,694.0,476.0,603.0,13213.0,939.0,,793.0,1362.0,7006.0,,679.0,,6624.0,13417.0,39.0,,921.0,3341.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-10,-108.0,381.0,9.0,4675.0,0.0,4792.0,273.0,4561.0,102.0,291.0,594.0,178.0,302.0,5.0,,789.0,393.0,165.0,13350.0,829.0,,673.0,1102.0,7246.0,,1103.0,,6758.0,13213.0,49.0,,1044.0,3662.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-11,2.0,379.0,16.0,4836.0,0.0,4850.0,381.0,4735.0,-25.0,316.0,559.0,165.0,189.0,4.0,,769.0,291.0,335.0,13656.0,662.0,,730.0,844.0,7090.0,,750.0,,6618.0,13350.0,49.0,,1027.0,3811.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12,-46.0,425.0,13.0,4984.0,0.0,5043.0,379.0,4893.0,84.0,232.0,533.0,163.0,337.0,3.0,,783.0,316.0,105.0,13366.0,744.0,,688.0,816.0,6625.0,,1016.0,,6215.0,13656.0,33.0,,1040.0,3320.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01,71.0,354.0,10.0,5188.0,0.0,5127.0,425.0,5065.0,-32.0,264.0,456.0,143.0,287.0,2.0,,773.0,232.0,-636.0,12717.0,757.0,,578.0,1079.0,5984.0,,967.0,,6389.0,13366.0,21.0,,1033.0,2661.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02,38.0,316.0,21.0,4786.0,0.0,4769.0,354.0,4668.0,14.0,250.0,574.0,120.0,185.0,4.0,,741.0,264.0,96.0,11955.0,760.0,,652.0,1218.0,6776.0,,1165.0,,6237.0,12717.0,38.0,,993.0,2693.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03,24.0,292.0,15.0,5055.0,0.0,5046.0,316.0,5000.0,82.0,168.0,465.0,169.0,476.0,9.0,,850.0,250.0,-700.0,12308.0,1082.0,,622.0,1278.0,5656.0,,1224.0,,6144.0,11955.0,70.0,,1120.0,2838.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04,-21.0,313.0,5.0,4307.0,0.0,4333.0,292.0,4304.0,1.0,167.0,452.0,205.0,369.0,6.0,,814.0,168.0,-278.0,12472.0,970.0,,455.0,850.0,6171.0,,1110.0,,6258.0,12308.0,51.0,,1093.0,2600.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05,56.0,257.0,4.0,4321.0,0.0,4269.0,313.0,4310.0,-45.0,212.0,401.0,220.0,400.0,8.0,,838.0,167.0,16.0,11943.0,1074.0,,423.0,772.0,5395.0,,768.0,,5640.0,12472.0,45.0,,1136.0,2321.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06,50.0,207.0,7.0,4458.0,0.0,4415.0,257.0,4424.0,64.0,148.0,490.0,171.0,400.0,11.0,,815.0,212.0,194.0,11697.0,1007.0,,424.0,1163.0,5999.0,,841.0,,5927.0,11943.0,44.0,,1094.0,2587.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
